YR,TH0,TA0,TD0,RFH0,RFD0,RFA0,RAH0,RAD0,RAA0,TM0,PFT0,PAT0,PFH0,PFA0,PAH0,PAA0,PPFT0,PPAT0,PPFH0,PPFA0,PPAH0,PPAA0,TH1,TA1,TD1,RFH1,RFD1,RFA1,RAH1,RAD1,RAA1,TM1,PFT1,PAT1,PFH1,PFA1,PAH1,PAA1,PPFT1,PPAT1,PPFH1,PPFA1,PPAH1,PPAA1,TH2,TA2,TD2,RFH2,RFD2,RFA2,RAH2,RAD2,RAA2,TM2,PFT2,PAT2,PFH2,PFA2,PAH2,PAA2,PPFT2,PPAT2,PPFH2,PPFA2,PPAH2,PPAA2,TH3,TA3,TD3,RFH3,RFD3,RFA3,RAH3,RAD3,RAA3,TM3,PFT3,PAT3,PFH3,PFA3,PAH3,PAA3,PPFT3,PPAT3,PPFH3,PPFA3,PPAH3,PPAA3,TH4,TA4,TD4,RFH4,RFD4,RFA4,RAH4,RAD4,RAA4,TM4,PFT4,PAT4,PFH4,PFA4,PAH4,PAA4,PPFT4,PPAT4,PPFH4,PPFA4,PPAH4,PPAA4,TH5,TA5,TD5,RFH5,RFD5,RFA5,RAH5,RAD5,RAA5,TM5,PFT5,PAT5,PFH5,PFA5,PAH5,PAA5,PPFT5,PPAT5,PPFH5,PPFA5,PPAH5,PPAA5,TH6,TA6,TD6,RFH6,RFD6,RFA6,RAH6,RAD6,RAA6,TM6,PFT6,PAT6,PFH6,PFA6,PAH6,PAA6,PPFT6,PPAT6,PPFH6,PPFA6,PPAH6,PPAA6,TH7,TA7,TD7,RFH7,RFD7,RFA7,RAH7,RAD7,RAA7,TM7,PFT7,PAT7,PFH7,PFA7,PAH7,PAA7,PPFT7,PPAT7,PPFH7,PPFA7,PPAH7,PPAA7
2006,39,107,27,0.0,27,0.0,107,27,39,173,27.0,465,27.0,27.0,348,144,0.15606936416184972,2.6878612716763004,0.4090909090909091,0.20149253731343283,2.5970149253731343,2.1818181818181817,92,82,51,54,51,16,66,51,38,225,261,363,213,99,249,165,1.16,1.6133333333333333,1.4895104895104896,0.7443609022556391,1.8721804511278195,1.1538461538461537,76,52,16,63,16,38,14,16,13,144,319,97,205,130,58,55,2.2152777777777777,0.6736111111111112,2.2282608695652173,1.911764705882353,0.8529411764705882,0.5978260869565217,48,24,2,46,2,21,3.0,2,2.0,74,203,17.0,140,65,11.0,8.0,2.7432432432432434,0.22972972972972974,2.8,2.5,0.4230769230769231,0.16,19,15,1.0,19,1.0,14,1.0,1.0,0.0,35.0,100.0,4.0,58.0,43.0,4.0,1.0,2.857142857142857,0.11428571428571428,2.9,2.6875,0.25,0.05,7,3.0,0.0,7,0.0,3.0,0.0,0.0,0.0,10.0,30.0,0.0,21.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,51,110,23,0.0,23,0.0,110,23,51,184,23.0,506,23.0,23.0,353,176,0.125,2.75,0.3108108108108108,0.17293233082706766,2.654135338345865,2.3783783783783785,73,92,41,39,41,26,66,41,34,206,236,341,158,119,239,143,1.145631067961165,1.6553398058252426,1.3859649122807018,0.8947368421052632,1.7969924812030076,1.2543859649122806,76,55,23,66,23,41,14,23,10,154,344,95,221,146,65,53,2.2337662337662336,0.6168831168831169,2.2323232323232323,1.8717948717948718,0.8333333333333334,0.5353535353535354,55,22,2,52,2,20,2.0,2,3.0,79,218,17.0,158,62,8.0,11.0,2.759493670886076,0.21518987341772153,2.7719298245614037,2.5833333333333335,0.3333333333333333,0.19298245614035087,29,8,1.0,29,1.0,8,0.0,1.0,0.0,38.0,112.0,1.0,88.0,25.0,1.0,1.0,2.9473684210526314,0.02631578947368421,2.933333333333333,2.7777777777777777,0.1111111111111111,0.03333333333333333,5,2.0,0.0,5,0.0,2.0,0.0,0.0,0.0,7.0,21.0,0.0,15.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,40,116,27,0.0,27,0.0,116,27,40,183,27.0,495,27.0,27.0,375,147,0.14754098360655737,2.7049180327868854,0.40298507462686567,0.1888111888111888,2.6223776223776225,2.1940298507462686,75,94,49,47,49,22,72,49,28,218,256,349,190,115,265,133,1.1743119266055047,1.6009174311926606,1.532258064516129,0.8041958041958042,1.8531468531468531,1.0725806451612903,78,44,17,71,17,27,17,17,7,139,311,89,230,98,68,38,2.237410071942446,0.6402877697841727,2.4210526315789473,1.6065573770491803,1.1147540983606556,0.4,47,22,2,46,2,19,3.0,2,1.0,71,197,14.0,140,59,11.0,5.0,2.7746478873239435,0.19718309859154928,2.857142857142857,2.4583333333333335,0.4583333333333333,0.10204081632653061,29,7,0.0,29,0.0,7,0.0,0.0,0.0,36.0,108.0,0.0,87.0,21.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,14,0.0,1.0,14,1.0,0.0,0.0,1.0,0.0,15.0,43.0,1.0,43.0,1.0,1.0,1.0,2.8666666666666667,0.06666666666666667,2.8666666666666667,1.0,1.0,0.06666666666666667,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
2009,38,99,27,0.0,27,0.0,99,27,38,164,27.0,438,27.0,27.0,324,141,0.16463414634146342,2.6707317073170733,0.4153846153846154,0.21428571428571427,2.5714285714285716,2.169230769230769,72,91,35,38,35,21,70,35,34,198,212,347,149,98,245,137,1.0707070707070707,1.7525252525252526,1.3925233644859814,0.7777777777777778,1.9444444444444444,1.280373831775701,82,54,29,72,29,31,23,29,10,165,338,128,245,122,98,59,2.0484848484848484,0.7757575757575758,2.2072072072072073,1.4698795180722892,1.180722891566265,0.5315315315315315,53,26,11,52,11,23,3.0,11,1.0,90,236,23.0,167,80,20.0,14.0,2.6222222222222222,0.25555555555555554,2.609375,2.1621621621621623,0.5405405405405406,0.21875,28,8,0.0,28,0.0,8,0.0,0.0,0.0,36.0,108.0,0.0,84.0,24.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,40,99,38,0.0,38,0.0,99,38,40,177,38.0,455,38.0,38.0,335,158,0.21468926553672316,2.5706214689265536,0.48717948717948717,0.2773722627737226,2.4452554744525545,2.0256410256410255,83,77,51,51,51,18,59,51,32,211,258,324,204,105,228,147,1.2227488151658767,1.5355450236966826,1.5223880597014925,0.8203125,1.78125,1.0970149253731343,67,54,26,58,26,35,19,26,9,147,305,110,200,131,83,53,2.074829931972789,0.7482993197278912,2.150537634408602,1.6375,1.0375,0.5698924731182796,42,28,3,40,3,26,2.0,3,2.0,73,201,15.0,123,81,9.0,9.0,2.7534246575342465,0.2054794520547945,2.7333333333333334,2.6129032258064515,0.2903225806451613,0.2,25,4,0.0,25,0.0,4,0.0,0.0,0.0,29.0,87.0,0.0,75.0,12.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,47,99,26,0.0,26,0.0,99,26,47,172,26.0,464,26.0,26.0,323,167,0.1511627906976744,2.697674418604651,0.3561643835616438,0.208,2.584,2.287671232876712,72,92,52,38,52,26,66,52,34,216,244,352,166,130,250,154,1.1296296296296295,1.6296296296296295,1.3387096774193548,0.9027777777777778,1.7361111111111112,1.2419354838709677,80,55,24,72,24,38,17,24,8,159,354,99,240,138,75,48,2.2264150943396226,0.6226415094339622,2.3076923076923075,1.7468354430379747,0.9493670886075949,0.46153846153846156,45,21,3,44,3,20,1.0,3,1.0,69,195,9.0,135,63,6.0,6.0,2.8260869565217392,0.13043478260869565,2.8125,2.625,0.25,0.125,22,7,0.0,21,0.0,6,1.0,0.0,1.0,29.0,81.0,6.0,63.0,18.0,3.0,3.0,2.793103448275862,0.20689655172413793,2.8636363636363638,2.5714285714285716,0.42857142857142855,0.13636363636363635,8,1.0,0.0,8,0.0,1.0,0.0,0.0,0.0,9.0,27.0,0.0,24.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,48,102,36,0.0,36,0.0,102,36,48,186,36.0,486,36.0,36.0,342,180,0.1935483870967742,2.6129032258064515,0.42857142857142855,0.2608695652173913,2.4782608695652173,2.142857142857143,82,89,50,49,50,24,65,50,33,221,269,344,197,122,245,149,1.2171945701357465,1.5565610859728507,1.4924242424242424,0.8776978417266187,1.7625899280575539,1.128787878787879,71,57,18,62,18,42,15,18,9,146,330,90,204,144,63,45,2.26027397260274,0.6164383561643836,2.292134831460674,1.92,0.84,0.5056179775280899,55,19,1,53,1,18,1.0,1,2.0,75,214,10.0,160,55,4.0,7.0,2.8533333333333335,0.13333333333333333,2.857142857142857,2.75,0.2,0.125,15,8,0.0,15,0.0,8,0.0,0.0,0.0,23.0,69.0,0.0,45.0,24.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,46,106,37,0.0,37,0.0,106,37,46,189,37.0,493,37.0,37.0,355,175,0.19576719576719576,2.6084656084656084,0.4457831325301205,0.25874125874125875,2.4825174825174825,2.108433734939759,83,89,49,51,49,24,65,49,32,221,274,340,202,121,244,145,1.239819004524887,1.5384615384615385,1.5303030303030303,0.8768115942028986,1.7681159420289856,1.0984848484848484,83,45,20,75,20,36,9,20,8,148,353,71,245,128,47,44,2.385135135135135,0.4797297297297297,2.378640776699029,1.9692307692307693,0.7230769230769231,0.42718446601941745,37,26,2,35,2,22,4.0,2,2.0,65,173,20.0,107,68,14.0,8.0,2.6615384615384614,0.3076923076923077,2.7435897435897436,2.4285714285714284,0.5,0.20512820512820512,13,4,0.0,13,0.0,4,0.0,0.0,0.0,17.0,51.0,0.0,39.0,12.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,9,2.0,0.0,9,0.0,2.0,0.0,0.0,0.0,11.0,33.0,0.0,27.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,55,130,32,0.0,32,0.0,130,32,55,217,32.0,587,32.0,32.0,422,197,0.14746543778801843,2.705069124423963,0.367816091954023,0.19753086419753085,2.6049382716049383,2.264367816091954,90,91,46,62,46,40,51,46,28,227,352,283,232,166,199,130,1.550660792951542,1.2466960352422907,1.7058823529411764,1.2116788321167884,1.4525547445255473,0.9558823529411765,82,50,13,74,13,34,16,13,8,145,337,85,235,115,61,37,2.3241379310344827,0.5862068965517241,2.473684210526316,1.8253968253968254,0.9682539682539683,0.3894736842105263,42,14,1,42,1,14,0.0,1,0.0,57,169,1.0,127,43,1.0,1.0,2.9649122807017543,0.017543859649122806,2.953488372093023,2.8666666666666667,0.06666666666666667,0.023255813953488372,12,3,0.0,12,0.0,3,0.0,0.0,0.0,15.0,45.0,0.0,36.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,49,123,39,0.0,39,0.0,123,39,49,211,39.0,555,39.0,39.0,408,186,0.1848341232227488,2.6303317535545023,0.4431818181818182,0.24074074074074073,2.5185185185185186,2.1136363636363638,92,95,33,56,33,27,68,33,36,220,282,345,201,114,237,141,1.2818181818181817,1.5681818181818181,1.608,0.890625,1.8515625,1.128,82,45,16,78,16,37,8,16,4,143,361,52,250,127,40,28,2.5244755244755246,0.36363636363636365,2.5510204081632653,2.081967213114754,0.6557377049180327,0.2857142857142857,48,21,3,48,3,20,1.0,3,0.0,72,207,6.0,147,63,6.0,3.0,2.875,0.08333333333333333,2.8823529411764706,2.625,0.25,0.058823529411764705,11,5,0.0,11,0.0,5,0.0,0.0,0.0,16.0,48.0,0.0,33.0,15.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
