YR,CHAMP,MP,MO,CH,CD,CA,CF,CM,CU,SH,SD,SA,SF,SM,SU,PLH,PLD,PLA,PLF,PLM,PLU,PCT_H,PCT_D,PCT_A,PCT_F,PCT_M,PCT_U,CH_AVG,CD_AVG,CA_AVG,CF_AVG,CM_AVG,CU_AVG,CH_MAX,CD_MAX,CA_MAX,CF_MAX,CM_MAX,CU_MAX
2006,serie-b,380,0,211,101,68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5552631578947368,0.2657894736842105,0.17894736842105263,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,serie-b,380,0,210,93,77,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526315789473685,0.24473684210526317,0.2026315789473684,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,serie-b,380,1,213,93,74,0,0,1,0.0,0.0,3.58,0.0,0.0,3.58,-1.0,-1.0,2.58,-1.0,-1.0,2.58,0.5605263157894737,0.24473684210526317,0.19473684210526315,0.0,0.0,1.0,-1.0,-1.0,2.58,-1.0,-1.0,2.58,-1.0,-1.0,2.75,-1.0,-1.0,2.75
2009,serie-b,380,379,204,78,98,205,89,85,379.22,261.29,365.25,374.66,284.91,346.19,0.22,-117.71,-13.75,-4.34,-94.09,-32.81,0.5368421052631579,0.20526315789473684,0.2578947368421053,0.5408970976253298,0.23482849604221637,0.22427440633245382,-0.78,-118.71,-11.17,-5.34,-95.09,-30.230000000000004,18.35,-94.81,46.59,18.35,-81.39,44.57
2010,serie-b,380,380,197,87,96,201,97,82,372.9,297.36,356.12,375.57,313.79,337.02,-7.1,-82.64,-23.88,-4.43,-66.21,-42.98,0.5184210526315789,0.22894736842105262,0.25263157894736843,0.5289473684210526,0.25526315789473686,0.21578947368421053,-7.88,-201.35,-35.05,-9.77,-161.3,-73.21000000000001,47.18,-146.17000000000002,76.05000000000001,47.18,-127.47,61.04
2011,serie-b,380,379,181,103,96,196,92,91,326.14,348.18,347.05,353.4,302.82,363.26,-52.86,-30.82,-31.95,-25.6,-76.18,-15.74,0.4763157894736842,0.2710526315789474,0.25263157894736843,0.5171503957783641,0.24274406332453827,0.24010554089709762,-60.74,-232.17,-67.0,-35.370000000000005,-237.48000000000002,-88.95,51.59,-140.60000000000002,105.18,51.59,-161.21,94.62
2012,serie-b,380,380,195,86,99,207,98,75,369.26,298.41,317.79,379.95,320.17,285.34,-10.74,-81.59,-62.21,-0.05,-59.83,-94.66,0.5131578947368421,0.22631578947368422,0.26052631578947366,0.5447368421052632,0.2578947368421053,0.19736842105263158,-71.48,-313.76,-129.21,-35.42,-297.31,-183.61,89.29,-187.12000000000003,88.06,89.29,-186.13,37.980000000000004
2013,serie-b,380,380,198,87,95,199,92,89,384.52,302.2,336.9,371.32,302.87,349.43,4.52,-77.8,-43.1,-8.68,-77.13,-30.57,0.5210526315789473,0.22894736842105262,0.25,0.5236842105263158,0.24210526315789474,0.23421052631578948,-66.96000000000001,-391.56,-172.31,-44.1,-374.44,-214.18,115.14000000000001,-238.52000000000004,95.29,115.14000000000001,-248.35999999999999,63.400000000000006
2014,serie-b,380,380,193,90,97,192,111,77,387.96,309.25,329.5,359.01,359.41,308.29,7.96,-70.75,-50.5,-20.99,-20.59,-71.71,0.5078947368421053,0.23684210526315788,0.25526315789473686,0.5052631578947369,0.29210526315789476,0.2026315789473684,-59.00000000000001,-462.31,-222.81,-65.09,-395.03,-285.89,128.44000000000003,-283.13000000000005,91.66000000000001,128.44000000000003,-267.0,58.370000000000005
2015,serie-b,380,380,195,103,82,201,101,78,375.54,354.14,281.77,369.66,340.67,301.12,-4.46,-25.86,-98.23,-10.34,-39.33,-78.88,0.5131578947368421,0.2710526315789474,0.21578947368421053,0.5289473684210526,0.2657894736842105,0.20526315789473684,-63.46000000000001,-488.17,-321.04,-75.43,-434.35999999999996,-364.77,139.65000000000003,-280.84000000000003,29.180000000000014,139.65000000000003,-291.25,30.960000000000004
